PL,PW,INL,run_id,S11,Frequency
26.0,34.0,6.0,5,-20.165136559994,2.7430000305176
26.0,34.0,7.33333,6,-17.359287816557,2.7190001010895
26.0,34.0,8.66667,7,-8.0251292719929,2.6949999332428
26.0,36.25,6.0,9,-29.285139137269,2.7249999046326
26.0,36.25,7.33333,10,-13.865276117264,2.7009999752045
26.0,38.5,6.0,13,-29.044834036095,2.7070000171661
26.0,40.75,6.0,17,-19.45630571954,2.691999912262
26.0,43.0,6.0,21,-24.46021477378,3.3699998855591
26.0,43.0,7.33333,22,-20.70932831586,3.3759999275208
26.0,43.0,8.66667,23,-18.858566746764,3.3819999694824
26.0,43.0,10.0,24,-18.437929779064,3.3910000324249
27.75,34.0,6.0,25,-11.409091419509,2.5810000896454
27.75,34.0,7.33333,26,-23.069620086288,2.569000005722
27.75,34.0,8.66667,27,-15.468996368883,2.5510001182556
27.75,36.25,6.0,29,-13.38767248591,2.5659999847412
27.75,38.5,6.0,33,-16.020668776207,2.5510001182556
27.75,38.5,7.33333,34,-25.43589819886,2.5390000343323
27.75,40.75,6.0,37,-20.529673470093,2.5360000133514
27.75,40.75,7.33333,38,-18.428585126065,2.5269999504089
27.75,43.0,6.0,41,-31.356976330324,2.5239999294281
27.75,43.0,7.33333,42,-16.662252350633,3.3519999980927
27.75,43.0,8.66667,43,-16.145344205201,3.3580000400543
27.75,43.0,10.0,44,-16.314272039154,3.3670001029968
29.5,34.0,6.0,45,-8.5070478624679,2.4189999103546
29.5,34.0,7.33333,46,-12.863904361073,2.4249999523163
29.5,34.0,8.66667,47,-31.196137030536,2.4159998893738
29.5,36.25,6.0,49,-9.7539529343987,2.4070000648498
29.5,36.25,7.33333,50,-15.2823723768,2.4100000858307
29.5,36.25,8.66667,51,-29.361014386717,2.404000043869
29.5,38.5,6.0,53,-11.20617931793,2.3949999809265
29.5,38.5,7.33333,54,-18.825982528065,2.3980000019073
29.5,38.5,8.66667,55,-20.463068543656,2.3919999599457
29.5,40.75,6.0,57,-13.127412496276,2.3829998970032
29.5,40.75,7.33333,58,-25.004015818207,2.385999917984
29.5,40.75,8.66667,59,-16.159543488951,2.3800001144409
29.5,43.0,6.0,61,-15.825507924147,2.3740000724792
29.5,43.0,8.66667,63,-13.922749291192,3.3399999141693
29.5,43.0,10.0,64,-14.385252299859,3.345999956131
31.25,34.0,7.33333,66,-9.8700402617405,2.2809998989105
31.25,34.0,8.66667,67,-15.175220942165,2.2869999408722
31.25,36.25,6.0,69,-8.7326832574614,2.2449998855591
31.25,36.25,7.33333,70,-11.310795284915,2.2690000534058
31.25,36.25,8.66667,71,-18.503163657591,2.2750000953674
31.25,36.25,10.0,72,-20.935332651535,2.2660000324249
31.25,38.5,6.0,73,-9.8508807506423,2.239000082016
31.25,38.5,7.33333,74,-13.210424632799,2.2599999904633
31.25,38.5,8.66667,75,-24.369882463228,2.2630000114441
31.25,38.5,10.0,76,-16.600859265317,2.2569999694824
31.25,40.75,6.0,77,-11.302930642333,2.2330000400543
31.25,40.75,7.33333,78,-15.696086234533,2.2509999275208
31.25,40.75,10.0,80,-13.740515642452,2.2449998855591
31.25,43.0,6.0,81,-13.146260420589,2.2269999980927
31.25,43.0,7.33333,82,-19.361721784143,2.2420001029968
31.25,43.0,8.66667,83,-24.793440429978,2.2420001029968
31.25,43.0,10.0,84,-12.761188421805,3.3250000476837
33.0,34.0,7.33333,86,-8.8605978389816,2.1429998874664
33.0,34.0,8.66667,87,-11.513512186433,2.1610000133514
33.0,34.0,10.0,88,-19.106147787521,2.1640000343323
33.0,36.25,6.0,89,-8.71757987862,2.1129999160767
33.0,36.25,7.33333,90,-10.089267642237,2.1340000629425
33.0,36.25,8.66667,91,-13.413829934833,2.1519999504089
33.0,36.25,10.0,92,-25.093560545811,2.1519999504089
33.0,38.5,6.0,93,-9.7408447504882,2.1099998950958
33.0,38.5,7.33333,94,-11.488406433475,2.1280000209808
33.0,38.5,8.66667,95,-15.826658101844,2.1429998874664
33.0,38.5,10.0,96,-38.921126578317,2.1429998874664
33.0,40.75,6.0,97,-11.043914660233,2.1040000915527
33.0,40.75,7.33333,98,-13.27200749561,2.1189999580383
33.0,40.75,8.66667,99,-19.555196708356,2.1310000419617
33.0,40.75,10.0,100,-24.639741390963,2.1310000419617
33.0,43.0,6.0,101,-12.67861720497,2.0980000495911
33.0,43.0,7.33333,102,-15.686316471638,2.1129999160767
33.0,43.0,8.66667,103,-25.765230005611,2.1219999790192
33.0,43.0,10.0,104,-18.767120580613,2.1219999790192
